Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,frankolín chocholatý
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,frankolín bělohrdlý
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,frankolín proužkoprsý
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,frankolín lesní
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,frankolín obojkový
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,frankolín jihoafrický
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,frankolín Finschův
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,frankolín vřesovištní
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,frankolín elgonský
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,frankolín Shelleyův/zambijský
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,frankolín zambijský
